gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Rnf149,0.15094553,0.36624128495849306,1.6145062,0.15094553,0.5225296023658637,0.9453487,0.15094553,0.834258624538623,0.6912374,0.0060070003
Creg2,,,,,,,,,,
Rfx8,3.5768147,1.0,0.06784472,3.5768147,0.5390760012893248,0.9129323,3.5768147,0.7463400994512954,0.8964286,0.00011319213
Gm3646,,,,,,,,,,
Map4k4,0.84531397,8.069788330810059e-23,10.324695,0.84531397,2.1705534188899018e-24,11.156958,0.84531397,1.700154138597237e-13,8.14076,0.07968472
Il1r2,1.1663992,1.0,0.27431753,1.1663992,0.34220571702305047,1.3790708,1.1663992,0.5644175527792648,1.2558788,-0.00024888376
Il1r1,-17.100584,1.0,-0.012744841,-17.100584,0.49289021214161516,-1.0,-17.100584,0.8807279313241815,-0.39775342,-4.6648514e-05
Il1rl2,0.06328774,1.0,0.17817225,0.06328774,0.9724463868597975,0.1469436,0.06328774,1.0,0.10493949,-0.001601052
Il1rl1,1.3122411,5.998155955644782e-11,7.09367,1.3122411,1.7039581584024416e-11,7.37392,1.3122411,1.485023134937378e-07,5.960321,0.06407673
Il18r1,0.40168107,3.040680980179291e-05,4.775642,0.40168107,7.405492299319821e-06,5.0194497,0.40168107,0.005155997040465605,3.519947,-0.0046883305
Il18rap,0.06743875,0.03944602821394868,2.719155,0.06743875,0.6654705251298402,0.6838081,0.06743875,0.8807279313241815,0.46804798,-0.018957276
Slc9a4,,,,,,,,,,
Slc9a2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Mfsd9,-0.41008708,1.0,0.007921605,-0.41008708,0.8315139117985102,-0.39521465,-0.41008708,0.9444823152609374,-0.2573729,4.41986e-05
Tmem182,,,,,,,,,,
Pou3f3,,,,,,,,,,
Mrps9,0.33272955,0.0008491095885721422,3.9564905,0.33272955,0.0023627739270331073,3.568504,0.33272955,0.06383180865459702,2.5800962,0.0011467609
Gpr45,1.8521298,1.0,0.2033425,1.8521298,0.44199664172920444,1.1610061,1.8521298,0.7077579342043465,0.9742565,0.00029758512
Tgfbrap1,0.44040573,0.12347685272478029,2.2235436,0.44040573,0.10648773302721912,2.1236768,0.44040573,0.39467610236261014,1.5758109,0.009717516
AI597479,0.11787069,1.0,0.47606295,0.11787069,0.8363165253377475,0.38640478,0.11787069,0.9334950638957855,0.2811414,0.0060193804
Fhl2,-0.060897384,1.0,-0.32475388,-0.060897384,0.8170343861369582,-0.42060885,-0.060897384,0.917660432829474,-0.31873795,-0.016491707
Nck2,-1.1376683,0.13824657237462026,-2.1668785,-1.1376683,7.628023962004236e-07,-5.4746547,-1.1376683,0.008567610762038866,-3.3595932,-0.025200797
Ecrg4,,,,,,,,,,
Uxs1,-0.3648109,1.0,-0.30134043,-0.3648109,0.23886315212199818,-1.6427143,-0.3648109,0.6299745565421779,-1.1287616,-0.008048107
Tpp2,0.20736991,0.07465858971752927,2.4524715,0.20736991,0.0416411466841141,2.5598123,0.20736991,0.2728057263981439,1.8309022,0.010510568
Mettl21c,-1.1240472,1.0,-0.10690973,-1.1240472,0.39421216210447974,-1.2586434,-1.1240472,0.7982404214309042,-0.77841884,-0.0012085977
Gm8251,-1.7941548,1.0,-0.6556406,-1.7941548,3.693391771131085e-05,-4.6402125,-1.7941548,0.08764547377850611,-2.4385962,-0.008014185
Tex30,-0.32670513,0.18387751559979976,-2.0181887,-0.32670513,0.017844302066333414,-2.8922286,-0.32670513,0.17766603504858253,-2.084944,0.030313967
Poglut2,0.39671052,1.0,0.6750294,0.39671052,0.4647249835040269,1.1206822,0.39671052,0.7656299624691889,0.85033464,0.0038234713
Bivm,0.26082388,1.0,0.58204633,0.26082388,0.6883779161996402,0.6466052,0.26082388,0.8807279313241815,0.46759668,0.00027987972
Ercc5,0.17406517,0.4087779299301544,1.5402093,0.17406517,0.5486664173846907,0.89500296,0.17406517,0.8436939094317504,0.651855,0.00058822037
Mettl21e,,,,,,,,,,
Gulp1,,,,,,,,,,
Col3a1,,,,,,,,,,
Col5a2,,,,,,,,,,
Wdr75,-0.003908293,0.8563492049893647,0.9106652,-0.003908293,1.0,-0.027742853,-0.003908293,1.0,-0.020075135,-0.01007207
Gm5269,,,,,,,,,,
