Union_likelihood_genes,All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Atad2,Klra3,0.33373036468596967,E2f1,0.34047448393650853,Brca1,0.3612609218724204,Sell,Sp100,Atf7ip
Rad51,Fasl,0.33008574404566676,Wdhd1,0.33828849803315775,Chaf1a,0.35340308226173395,Nfxl1,Mcm5,Ttf2
Ctla4,Ighd,0.328252693876331,Kdm7a,0.33555061774448186,Id2,0.35218886193136406,Clec12a,Mcm7,Tox
Ifngr1,Cd74,0.3270165612396226,Cd96,0.3353378711705776,Ttf2,0.3497979624986599,Arntl,Notch1,Fosb
Klrk1,Cd226,0.3267385030957056,Klrd1,0.33323275572438127,Tnfrsf25,0.34905522469574873,Klra1,Atad2,Mcm3
Hat1,Fosb,0.325606522727667,Ncr1,0.33234355528818477,Tnfrsf9,0.34858543596685937,Parp1,Hat1,Nap1l1
Klrc1,Il2ra,0.32090795019963214,Klra8,0.32955435392605886,Il18rap,0.3438467991955299,Il18r1,Phip,Hells
Fkbp5,Cxcr6,0.3121949983063186,Fasl,0.325606755884815,Timeless,0.3417753698380747,Klra8,Pou6f1,Cxcr6
Phip,Brd8,0.30744469120314216,Rbbp4,0.3240837275746808,Cxcr6,0.3412226119085744,Id3,Tnfsf11,Tox2
Id2,Prdm1,0.3058664323989922,Cd226,0.32129133026766404,Tox,0.3365409133436453,Prdm5,Zfhx2,E2f8
Kdm7a,Wdhd1,0.305828587075686,Atf7ip,0.31777300086816324,Atad2,0.33598914672355656,Ighd,Mcm8,Il1rl1
Zfhx2,Cd96,0.30179003955602396,Parp1,0.3167779405339224,Actb,0.33506299790841737,Ezh2,Rel,Crtam
Pbrm1,Nsd2,0.30011753917422723,Klrc1,0.3163645668145697,Slamf6,0.33201682992083426,Nfkb1,Rbl2,Ccr2
Tcf12,Brca1,0.2942373592510607,E2f3,0.3107828791967576,Tnfsf8,0.3294100896693429,Zeb2,Tcf12,Havcr2
Klra6,Mcm8,0.2928082700753807,Ctcf,0.310737659872272,Brip1,0.32324793392987794,Runx3,Mybl1,Cxcr5
