,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
H2-Eb1,0.017261758,0.047313157,0.0,0.03948372,0.039721575,0.19075176,0.18205711,0.2831865,0.038141064,0.056980696,0.01791796,0.19540271,0.19223541,0.21148764,0.012481127,0.012051873,0.0132824015,0.0329804,0.035510026,0.028758772,0.074717,0.075189166,0.07459157,0.16940081,0.034918007,0.17250665,0.06358912,0.0632663,0.07654395,0.073362425,0.073380515,0.0
Tsg101,0.4653216,0.45603067,0.68183804,0.33756423,0.33590457,0.6067258,0.60668844,0.62090784,0.7171173,0.65216565,0.7868386,0.6742822,0.6536337,0.7791441,0.73413074,0.6995137,0.79874927,0.5997124,0.5912722,0.613798,0.4928741,0.51546675,0.48687202,0.5788953,0.52695894,0.58009475,0.49520627,0.4944968,0.53245544,0.5160689,0.51638037,0.3989853
Ovol2,1.5239824e-05,0.0011455268,0.0,3.8584356e-05,3.8816794e-05,0.014661409,0.015614679,0.010261852,0.01447052,0.015750298,0.013096764,0.015168908,0.014297378,0.019594911,0.027948935,0.024355216,0.03465721,0.009416786,0.007828891,0.012066783,0.0066348165,0.0041120043,0.007305037,0.03078642,0.016722182,0.031111227,0.0048891813,0.0047818655,0.012160171,0.02660349,0.026687237,0.0
Apc,0.46624368,0.48773032,0.31308198,0.4358421,0.43605268,0.17530736,0.16859978,0.18612777,0.23971382,0.22400887,0.25657204,0.20412344,0.20363168,0.20662075,0.18648809,0.18023333,0.19816363,0.19925861,0.18831627,0.21751998,0.28245354,0.28467745,0.2818627,0.38835728,0.28229737,0.3908067,0.3889661,0.39007136,0.31763577,0.37543333,0.37535062,0.3214556
Cd9,0.3495367,0.49885103,0.45185828,0.38551775,0.38732085,0.5650451,0.5617645,0.66412663,0.8670197,0.569301,1.186601,0.69415176,0.6310008,1.0148596,0.772708,0.6454127,1.0103258,0.99985516,0.7368768,1.438733,2.184408,1.8162142,2.2822237,0.921378,0.8690345,0.92258686,0.5341816,0.52449507,1.1619842,0.27612013,0.27608255,0.19727454
Taf1,0.3493702,0.4134751,0.22088528,0.4166476,0.41694888,0.4615002,0.4641602,0.49357685,0.5645642,0.5527406,0.57725614,0.5262587,0.5230982,0.54230934,0.5391185,0.53145194,0.5534294,0.38359907,0.39449582,0.36541376,0.34405702,0.38443932,0.3333289,0.344823,0.43383333,0.34276733,0.33971667,0.34065926,0.2670146,0.33558258,0.33597603,0.14809
Sell,4.4575634,3.746631,4.815382,4.546697,4.5504856,0.21440464,0.1311462,0.12952136,0.064151846,0.065163635,0.06306576,0.14427719,0.16077127,0.060513128,0.043423634,0.039761778,0.0502591,0.043936856,0.048308298,0.036641464,0.59233785,0.8112573,0.5341788,0.06036576,0.079299025,0.0599285,0.09568256,0.09634875,0.057548065,0.043085583,0.04266004,0.22696452
Cry1,0.17883624,0.16024536,0.06964895,0.14527231,0.14564075,0.21932587,0.22154468,0.22572906,0.23157267,0.20819332,0.25666887,0.21116611,0.20506667,0.2421417,0.21631679,0.20372261,0.23982589,0.2513032,0.23336734,0.28123587,0.23151673,0.2597215,0.22402374,0.37988406,0.32568067,0.38113588,0.4295498,0.4298576,0.40769127,0.46108988,0.4611698,0.5565268
Mef2a,0.40773752,0.3257449,0.38142282,0.3147585,0.31384024,0.20078216,0.18747255,0.1976538,0.31278542,0.31228992,0.3133173,0.26710662,0.2626637,0.2896698,0.27119908,0.25807214,0.29570276,0.22464192,0.22001833,0.23235813,0.20740667,0.28812274,0.18596329,0.38265646,0.41443196,0.3819226,0.4220338,0.4222691,0.3756596,0.5173268,0.5166811,0.53831315
Creb1,0.74952716,0.7432682,0.54840314,0.6067715,0.60496026,0.5343643,0.5241724,0.5219715,0.73411363,0.7621185,0.7040522,0.63101375,0.6342312,0.61467427,0.5568273,0.5715112,0.52941734,0.5576999,0.5633792,0.548222,0.60039634,0.6154736,0.5963908,0.72520673,0.6265731,0.72748464,0.72179055,0.7242588,0.53283346,0.67397916,0.6739976,0.47204298
