All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Kntc1,0.3136028512609522,Chaf1a,0.32751308529729867,Bcl6,0.29467089895495724,Cd55,,Kdm7a
Rad51,0.3125780208923843,Cx3cr1,0.32750462323370505,Itga1,0.29303383464073324,Ddx5,,Kdm6b
Aurkb,0.3125194859773708,Rad51,0.32451933243852443,Cd96,0.29240783512257257,Gatad1,,Ikzf2
Sema7a,0.3110780315052156,E2f3,0.32304542603375375,Cxcr5,0.2921563589850736,Maff,,Id3
E2f2,0.3109715388536042,Il6ra,0.3168963186474539,Selplg,0.29152846601928767,Il4ra,,Il6st
Klrc1,0.3067282660659374,Gatad1,0.3108051605678952,Kdm6b,0.2899176594359382,Ruvbl2,,Bard1
Aff3,0.30582112507495185,Irf4,0.3100341727846359,Mxd3,0.2888744740731791,Pdcd1,,Fosb
Cx3cr1,0.30276380925943885,Tbx21,0.30731228295996804,Itga4,0.2885443073512969,Cd48,,Cxcr2
Arntl,0.29975344737994847,Pa2g4,0.307263934941927,Sp100,0.28751491642843024,Daxx,,Ctcf
E2f8,0.29973072150428726,Ifngr1,0.3041666265908259,Dnmt3a,0.2844694890271042,Itga6,,Uhrf1
Nrp1,0.29693564095568953,Cd48,0.3035442514170486,Cd28,0.2842023399778955,Foxp1,,Ifngr1
Parp1,0.2964308584098235,Itga1,0.3013783988853348,Kdm7a,0.2831835211294279,Zeb2,,Aff3
Fosb,0.2963271529192405,Epas1,0.2982157586219874,Mybl2,0.28206027697218355,Suv39h1,,Klrb1c
Kdm5b,0.29497204793104975,Prmt1,0.29787942611908347,Id3,0.2799437491905388,Itgb1,,Apex1
Il6ra,0.2943087435043167,E2f8,0.2965802122431626,Pou6f1,0.27864061486669556,Cd53,,Jaml
Tbx21,0.29363514633171445,E2f2,0.2943701555685452,Pecam1,0.27741944210858493,Il18r1,,Kdm5b
Irf4,0.29228908704609835,Cd53,0.293851577431135,E2f3,0.27440178591346165,Bcl11a,,Dnmt1
Id2,0.290216865153302,Smad4,0.29271244024989806,Ikzf2,0.2734234106300715,Taf4b,,Tlr1
Il1rl1,0.29009617506527147,Chaf1b,0.2926099232626859,Foxm1,0.2696209419946318,Srebf2,,Brca1
Rbl1,0.2900658531617495,Sema7a,0.29195903451501076,Icos,0.2675202972803777,Il1r2,,Tnfrsf9
Tnfsf8,0.2896692673489571,Rbl1,0.2905824640182177,Vax2,0.26537659590746887,Atf3,,Fasl
Hif1a,0.2893688988169742,Mycbp,0.28817913992265176,Itgax,0.2646061413988359,Cd6,,Scml4
Btg2,0.2800210043201531,Mcm8,0.2880376095296064,Ggt1,0.2638619432915213,Prdm5,,Pecam1
