wilcoxon,t-test,t-test_overestim_var
Ilf2,Ing2,Cdca3
Cyb5r4,Pkp4,Pkp4
Micos10,Tmem230,Ppp2ca
Fabp5,Rtraf,Elovl6
Ptpn11,Nsf,Hectd2
Mrpl1,Gars,Bclaf1
Lxn,Zc3h15,Ropn1l
Sh3bgrl,Gnas,Atic
Klhdc3,Msrb2,Nme4
Lyrm2,Utf1,Micos10
Ccdc58,Atic,Swi5
Smc1a,Snn,Cetn3
Bri3bp,Dapp1,Usp11
Eef1e1,Fgfr1op,Ccnl1
Map3k8,Ppp2ca,Rpl9-ps6
Kdm5b,Cetn3,Dapp1
Creg1,Bclaf1,Dpm1
Zc3h15,Oas1a,Oas1a
Mlec,Swi5,Pecam1
Tomm20,Micos10,Sfxn1
Kdm2b,Rpl9-ps6,Lsm4
Rars,Cd2ap,Msrb2
Isg20,Dpm1,Fgfr1op
Las1l,Pecam1,Gpbp1
Cetn3,Sfxn1,Cd2ap
Uqcrb,Bcl6,Utf1
Lysmd2,Ccnl1,Nucks1
Plscr1,Nr4a3,Acin1
Gna13,Nucks1,Mrpl54
Cux1,Lsm4,Chchd1
Uck2,Mgrn1,Cwc15
Tsfm,Gpbp1,Tomm20
Ola1,Mboat1,Coq10b
Fh1,Nr4a1,Bmyc
Tsr1,Acin1,Cmas
mt-Nd6,Chchd1,Nr4a3
Ddx23,Cmas,Dnaja2
Apex1,Cwc15,Nr4a1
Fam169b,Apoa2,Smap1
Khdrbs1,Coq10b,Ost4
Bclaf1,Heatr3,Tle3
Txnl4a,Mrpl54,Heatr3
Gpatch4,Mapk8,Bcl6
Hint2,Tomm20,Dus2
BC005624,Dnaja2,Caprin1
Cebpz,Kif23,Dusp1
Akr1e1,Dus2,Mboat1
Cdkn1b,Smap1,Nol11
Ing3,Fam216a,Fam216a
Plxnc1,Tle3,Sec61b
Birc3,Pbx4,Snn
Tspan31,Tnfrsf4,Mapk8
Abce1,Rhob,Kif23
Il16,Pclaf,Mrpl23
Ano10,Nefh,Pclaf
Ppp2ca,Nol11,Mgrn1
Canx,Ost4,Tiprl
Mrpl54,Caprin1,Rps23
Rbbp4,Pld4,Atp5pb
Zc3h12d,Dusp1,P2ry10
Zc3h14,P2ry10,Tnfrsf4
Acin1,Slc9a9,Mrps15
Nop58,Sec61b,Wdr43
Phpt1,Alg8,Furin
Caprin1,Furin,Dtd1
Tcp1,Apex1,Pbx4
Zfp386,Mrpl23,Rhob
Mrpl12,2610301B20Rik,Apex1
Usp24,Wdr43,Gstt2
Hexim1,Tiprl,Apoa2
Cdc40,Rps23,Nefh
Cdk4,Dtd1,Slc9a9
Atg7,Atp5pb,Chd1
Pdha1,Mrps15,Ap3b1
Ptrhd1,Gstt2,Impa2
Cep19,Impa2,Gna13
Cdca3,Isg20,Nampt
Btla,Cd7,Ubb
Swi5,Gna13,Cd7
Usp16,Nampt,Fh1
Topors,Ap3b1,Mdh2
Pgs1,Fh1,1600002K03Rik
Xlr4a,Chd1,Dera
Smap1,Ubb,Alg8
Rangap1,1600002K03Rik,Trp53inp1
Hbs1l,Trp53inp1,Isg20
Fgfr1op,Cep55,Ilf2
Smarcc1,Klhdc3,Klhdc3
Ctss,Isg15,Mrpl34
Dennd2d,Dera,Isg15
Ywhae,Lif,Pld4
Alkbh1,Lclat1,Tufm
Ppih,Ilf2,2610301B20Rik
Nme1,Mdh2,Aldoa
Adh5,Tufm,Bcas2
Eprs,Mtss1,Uqcrc2
Smg7,Ntpcr,Srp72
Ttc3,Birc3,Cep55
Mcee,Mrpl34,Birc3
Aldoa,Nipsnap1,Nipsnap1
Retreg1,Bcas2,Ntpcr
Bcas2,Aldoa,Lclat1
Prpf40a,Tsc22d2,Tsc22d2
Osgep,Uqcrc2,Tmem126a
Ddb1,Xlr4c,Nop58
Nucks1,Nop58,Grpel1
Nr4a3,Ift80,Timm13
Rnf213,Srp72,Snd1
Clcn3,Oaf,Prpf40a
Mrps15,Nfkbie,Adh5
Tbc1d4,Snd1,Mtss1
Ikbke,Grpel1,Xlr4c
Pi4k2a,Ncapd2,Lxn
Tpd52l2,Lxn,Nfkbie
