gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Tsga10,0.3060289,1.0,0.61785036,0.3060289,0.4089041813688766,1.0658658,0.3060289,0.6931379318974591,0.78273153,0.02125979
Lipt1,-0.23657487,1.0,-0.07487519,-0.23657487,0.6466208146171618,-0.61373353,-0.23657487,0.8314301926111565,-0.40446854,0.001245023
Mitd1,0.46564138,8.041743725566576e-13,7.4906316,0.46564138,1.4424754312013945e-09,6.4192185,0.46564138,2.8078804650752805e-05,4.6489444,0.048518352
Mrpl30,0.14439063,0.12565360814910803,2.0395625,0.14439063,0.0024347483602039323,3.378981,0.14439063,0.06950747101550384,2.322408,-0.040261246
Lyg2,,,,,,,,,,
Lyg1,,,,,,,,,,
Txndc9,-0.116803735,0.3164644413444156,-1.5576335,-0.116803735,0.07315446241542448,-2.120921,-0.116803735,0.3429693645624077,-1.4484322,-0.111436754
Eif5b,0.4146499,6.035946092704961e-11,6.8810043,0.4146499,1.3242825545898452e-17,8.975153,0.4146499,1.3037629230486471e-08,6.1274834,0.07474126
Rev1,0.058007065,0.6227523707014754,1.1020004,0.058007065,0.7975223739070562,0.35952765,0.058007065,0.8914886965883978,0.24954432,0.0358136
Aff3,-4.1476617,0.0009238580529492026,-3.7201304,-4.1476617,3.537479590133104e-80,-19.447744,-4.1476617,7.772485992588486e-12,-7.3422103,-0.04893627
Lonrf2,,,,,,,,,,
Chst10,-0.25354734,1.0,0.40226528,-0.25354734,0.25908121313653915,-1.4123089,-0.25354734,0.6289068533969432,-0.90845305,-0.022766858
Nms,,,,,,,,,,
Pdcl3,0.53426695,9.407106318542687e-17,8.62886,0.53426695,5.62899857555196e-19,9.363493,0.53426695,2.5189381749369176e-10,6.7693377,-0.038504124
Npas2,,,,,,,,,,
Rpl31,0.094742455,0.9592043486865277,0.69904155,0.094742455,0.0009352892268125247,3.655096,0.094742455,0.06819445844681546,2.3314502,-0.050565697
Tbc1d8,-0.0052020545,1.0,0.03566665,-0.0052020545,1.0,-0.004431463,-0.0052020545,1.0,-0.0027622005,0.0013133049
Cnot11,0.2908149,8.395394870125699e-05,4.318513,0.2908149,0.0015863978994109112,3.5054176,0.2908149,0.04008677837433921,2.5549083,-0.03022446
Rnf149,0.12059669,0.008138989513742314,3.0835798,0.12059669,0.33918236777347643,1.2099526,0.12059669,0.6701523022743476,0.83274406,-0.027846096
Creg2,,,,,,,,,,
Rfx8,-17.015358,1.0,-0.013308943,-17.015358,0.2798355097329363,-1.3519729,-17.015358,0.8122292482235262,-0.45885935,-3.0527885e-05
Gm3646,,,,,,,,,,
Map4k4,-0.5684437,1.522217371934905e-10,-6.7432175,-0.5684437,5.931785975451985e-23,-10.349441,-0.5684437,6.43315719207658e-10,-6.625745,-0.037599567
Il1r2,-0.055052325,1.0,0.0188736,-0.055052325,0.9380321104618538,-0.12312436,-0.055052325,0.9698903017940482,-0.08425198,-0.015218099
Il1r1,1.9543014,1.0,0.03781325,1.9543014,0.5766238017239661,0.7327639,1.9543014,0.743469440566933,0.6721766,0.00030709145
Il1rl2,0.15862863,1.0,0.3279928,0.15862863,0.6838402747215644,0.5490306,0.15862863,0.8384885922239487,0.3870361,0.0017007419
Il1rl1,-0.2540267,0.772977953218435,-0.9191427,-0.2540267,0.33910834281492075,-1.210259,-0.2540267,0.6400063133610799,-0.89165974,0.011848019
Il18r1,-0.20123471,0.10716203591476813,-2.1120517,-0.20123471,0.0007046141791359949,-3.7351446,-0.20123471,0.04999087975512901,-2.4644697,-0.020391276
Il18rap,-0.84764314,1.644911254061312e-09,-6.373514,-0.84764314,7.171676230357646e-39,-13.720828,-0.84764314,2.007728923068046e-14,-8.122983,-0.004745759
Slc9a4,,,,,,,,,,
Slc9a2,-17.219242,1.0,-0.013308943,-17.219242,0.297811849986275,-1.3076826,-17.219242,0.8170025038655375,-0.44382724,-0.00010001514
Mfsd9,-0.223254,1.0,-0.0329256,-0.223254,0.8539971086696121,-0.26688007,-0.223254,0.9239217035863736,-0.18320921,-0.003177264
Tmem182,,,,,,,,,,
Pou3f3,,,,,,,,,,
Mrps9,0.2085728,0.00040648451706258793,3.934147,0.2085728,0.00586795943424773,3.101444,0.2085728,0.08836620771478286,2.2123117,-0.046414774
Gpr45,1.4450835,1.0,0.1379936,1.4450835,0.3735957885053049,1.137763,1.4450835,0.5876828403962746,0.9867373,0.0009775319
Tgfbrap1,-0.41484067,1.0,-0.6245378,-0.41484067,0.011646011654373798,-2.865565,-0.41484067,0.18017787830216775,-1.8479898,-0.035765115
AI597479,0.19468479,0.7766916092706668,0.9140239,0.19468479,0.47065322543656307,0.9255454,0.19468479,0.7521090584126063,0.6481422,0.0263666
Fhl2,0.42971537,4.763012915626706e-07,5.395769,0.42971537,6.774557038315186e-06,4.8538322,0.42971537,0.0014798212795311657,3.6529455,-0.029704934
Nck2,-0.29206213,1.0,0.37667942,-0.29206213,0.03661421628345892,-2.4271297,-0.29206213,0.2841911996848615,-1.5748197,-0.009966761
Ecrg4,,,,,,,,,,
Uxs1,0.1512051,0.4744273720855927,1.3005116,0.1512051,0.4242949085745468,1.0364732,0.1512051,0.7132510535974844,0.7379098,0.005412408
Tpp2,0.08884709,0.16983258900747644,1.893965,0.08884709,0.16695754283730474,1.6899024,0.08884709,0.49299124735487837,1.1612192,0.009220261
Mettl21c,0.6749771,1.0,0.20760961,0.6749771,0.4221812518698331,1.0402935,0.6749771,0.6871055441531474,0.7982666,0.004669714
Gm8251,1.1773043,0.07390910209392113,2.2732947,1.1773043,0.00011182122965303106,4.215025,1.1773043,0.0034589047425180033,3.4046621,0.06476255
Tex30,0.41048893,1.1968679990751587e-09,6.4239593,0.41048893,5.240442622739882e-09,6.204023,0.41048893,6.002269382916334e-05,4.4757853,-0.037007116
Poglut2,0.09616853,1.0,0.2816014,0.09616853,0.7573622611649211,0.42540196,0.09616853,0.8630135663893622,0.30275175,0.0047759437
Bivm,-0.483571,1.0,-0.3741448,-0.483571,0.1489868540196557,-1.7578635,-0.483571,0.5137865437596945,-1.1244092,0.0019888352
Ercc5,-0.47898132,0.842699281291183,-0.83549947,-0.47898132,0.002262382094867653,-3.4000092,-0.47898132,0.08978970477987998,-2.204777,0.00012875535
Mettl21e,,,,,,,,,,
Gulp1,,,,,,,,,,
Col3a1,,,,,,,,,,
Col5a2,,,,,,,,,,
Wdr75,0.3778961,6.34205399412725e-05,4.3828115,0.3778961,0.0003599066654773175,3.9161844,0.3778961,0.017193089054585504,2.8809621,0.02523675
Gm5269,,,,,,,,,,
Slc40a1,-0.26651388,1.0,-0.019616656,-0.26651388,0.8245679063027948,-0.31291443,-0.26651388,0.9132491825066025,-0.20246829,7.460013e-05
Dnah7b,,,,,,,,,,
Dnah7c,,,,,,,,,,
Slc39a10,0.09406881,0.9036178052450038,0.7640011,0.09406881,0.6438851163920014,0.61840826,0.09406881,0.8177224490061982,0.44125056,-0.012407137
Tmeff2,,,,,,,,,,
Cavin2,-19.248707,1.0,-0.026617886,-19.248707,0.09600987339769054,-1.989198,-19.248707,0.7425653127439562,-0.6751334,-0.00036481372
Nabp1,0.113099545,0.03421990013137802,2.5844944,0.113099545,0.1409314975366141,1.789139,0.113099545,0.4339477920308107,1.2709792,0.024941621
Myo1b,-1.7115986,1.0,-0.34976432,-1.7115986,0.026395488689741953,-2.5600255,-1.7115986,0.35364079508974694,-1.4257483,0.00066185195
